id,date,text,target
36,2009-05-30,"Apparently Brandy (my dog) does want to be like me... with a torn ACL, she is going to require a second surgery on her left knee, too!!  ",0
37,2009-06-02,http://twitpic.com/6imul - My friends daughter how sad ,0
38,2009-06-19,Kerry we're REALLY not over you yet ,0
39,2009-06-18,Watching the Girl Alert episode of NA for the first time. Do I really have a lisp? And say 'like' that often? I am embarrassed... ,0
40,2009-06-16,Can't do anything on my bday bc of work... Bummed ,0
41,2009-05-31,@GillBH oh definitely!  that last scene still kills me... ,0
42,2009-06-05,"@kshpatel Me, too. Was planning on going out. But it's just me, the writing, and twitter distraction.  #FanonianNausea",0
43,2009-04-18,"@decryption I have a Locke figurine with him standing on the hatch, mine doesn't light up though ",0
44,2009-06-25,Spent yesterday in a bikini and sun-dress....today wondering whether I'm going to be able to hang out the washing ,0
45,2009-06-06,@steffy213 OMG YOU ARE GETTING THEM TOO  they just wont stop,0
46,2009-06-16,"@MaddieBug13 I LOVE YOU SO MUCH!!! I miss you!  I haven't seen you since Sunday morning. God, that feels like so long ago!!!",0
47,2009-06-17,@princetim so how you been babes? dont tell me you completely abandoned the zune for the ipod ,0
48,2009-06-19,It's supposed to b summer and its raining  I hate oregon.,0
49,2009-06-06,stop asking me  i'm only going to mess things up.,0
50,2009-06-07,and I end up with a ticket from bike cops.  Yeah....happy freakin' birthday!!  ,0
51,2009-05-09,Cracker barrel. No moneys ,0
52,2009-06-17,"@teruist Also, aggravating to know they can make oldschool vkei in PARODY but we struggle to try ",0
53,2009-06-07,"Heading back to the airport to be shuttled back to reality  it's always hard leaving the desert.. in Phoenix, AZ http://loopt.us/S-bq8g.t",0
54,2009-06-07,@jellayz oh no! i'm sorry  she was a good dog~,0
55,2009-05-26,needs to catch up on homework. Been slacking off. Ugh  Busy Busy Night...,0
56,2009-06-07,I feel kinda sad all of a sudden  I don't know why.,0
57,2009-05-30,I missed the Paramore show    /emo,0
58,2009-06-15,Just at home. And now I'm gonna learn for tomorrow! ,0
59,2009-05-29,I'm soooo sleepy  but I'm not a home just yet,0
60,2009-05-30,feeliing a little ,0
61,2009-05-18,"One the way home... more first class freebies, but also pins and needles in my foot ",0
62,2009-06-18,Doctors appt! ,0
63,2009-04-17,"Well I know what's wrong with my spine...but nothing to fix it right now, great...time for meds then bed time...story of my life... ",0
64,2009-06-16,@SimplyJay31 lmaooooo das so sad  atleast u don't have this long ride back to ny lol *yikes,0
65,2009-06-16,I want to have a dvd marathon  and where's that dickhead when I needed him?!,0
66,2009-06-16,mum quit twitter ,0
67,2009-06-16,just got up my eye is hurting so bad ,0
68,2009-06-15,@PhilboFaggins I wanna play it so bad.  ,0
69,2009-06-16,/meows @ billy. I hate leaving him outside  it's so cold!,0
70,2009-06-06,i cant date him because he is just my friend... and because i didnt want him to have some false hopes with me... ,0
71,2009-06-01,Jammed ! Stuck up and can't login www.nehabagoria.com is redirected to iam9.com Japnese site ,0
72,2009-06-19,@quakelive is screwed tonight  wanted to play some drunken fraggin,0
73,2009-06-07,@AKAmplish never cooked for me ,0
74,2009-06-21,@ang_manunusok hahaha... at least confused ka pa unlike me ,0
75,2009-06-16,Why am I taking courses over the summer?  I'm class-y in all the wrong ways. ,0
76,2009-06-16,Finally have native desktop identi.ca client on os x in form of nambu. woo. had to create password though ,0
77,2009-06-23,@brettburdeaux Dhl is not cable. They are packages. And they are in Swiss land so I THOUGHT they would be on time!  fail.,0
78,2009-04-19,@jawar what time does it start? I'm not sure..... Next tuesday I have plans.... We keep playing phone tag ,0
79,2009-06-23,I had my first singing lesson today in a ladies gargage!! My thoart hurts  I'm gonna have to get used to singing for hours at a time.,0
80,2009-06-07,@jodi_ice Oww  I'd love to meet you.. So sorry :'/,0
81,2009-06-15,@mileycyrus i think i am feeling the exact pain as u right now except its my bday ,0
82,2009-06-15,Woke up about 10 minutes ago...i've already sneezed 13 times...i've counted ,0
83,2009-06-23,I love the Food Network. I really want shrimp now. ,0
84,2009-06-07,Sad news and a sad day!! What will we do without Margaret on the Apprentice next year!  #fb,0
85,2009-06-15,@id10t2u Lol aww  im sorry to hear that,0
86,2009-06-05,Just caught a Sun egg in the #Dragon_Caveâ¦and now I'm scroll-locked again ,0
87,2009-06-18,extremely gutted ,0
88,2009-06-05,some people are just really gay ,0
89,2009-04-19,asot400 is down in the trending topics. too bad.  #asot400,0
90,2009-06-25,@apezface Nooooo! I have to leave at 5:30 today! ,0
91,2009-06-16,I'm being made fun of because I can't whistle ,0
92,2009-06-16,"@NeoplasmSix sounds interesting, but the link isn't working for me. Damn you, technology! ",0
93,2009-06-15,@matisyahu i wish i could be there ,0
94,2009-06-06,@NastyTaiBoogy OMG I WAS WATCHING SNAKES ON A PLANE TOO! lol best friend vibesss! lol and OMG  @tweety being stuck!,0
95,2009-06-20,Well now we r going home from this long day of having fun and i have a sun burn and a tan it hurts so much ,0
96,2009-06-15,@troytaylor86 Hey Uncle Troy! u gong live again today. I missed ya past 2 live streams  but these songs r HOT! Cant wait for da mixtape!,0
97,2009-06-20,weather for long beach this morning   120 5kt 5sm ra br sct 008 ovc 016 29.82,0
98,2009-04-18,running out of battery. bummed i can't live tweet notes from  @zephoria #tltsym09,0
99,2009-06-05,"@crazedwriter As a Christian, it is very frustrating to know that many people think we're all like that. ",0
100,2009-06-18,@Lopsi that link doesn't work for me ,0
101,2009-06-22,I loveee Jayde Nicole! It was so cooling seeing her in personn! To badd we couldnt chatt ,0
102,2009-06-15,I hate mother nature right now.  ,0
103,2009-06-22,@SebastienDS I miss you ,0
104,2009-06-16,"Going on a fieldtrip with the school today  whish I could just stay right here all day, but no such luck..",0
105,2009-05-02,I miss @memphis53rd. I wish I was feeling better. I don't wanna go to the hospital ,0
106,2009-06-17,Oh please god make it stop ,0
107,2009-06-07,everything I look forward to in the summer is crashing &amp; burning  at least Cedar Point will help fill the void...,0
108,2009-06-19,UP EARLY GOT WORK TO DO BUT I'M SOOO SLEEPY I DIDN'T GET NOT ONE WINK OF SLEEP ,0
109,2009-06-16,sorry i've been neglecting the site lately  i just started college.,0
110,2009-05-03,I have a final tomorrow and I don't care to study. ,0
111,2009-05-10,omg hard day of school today. two exams in one day. i hate school ,0
112,2009-06-04,Work tomorrow.......... ,0
113,2009-06-05,"@alannaelliott And my cell is dead  But yes, we shall discuss! =D Love you!",0
114,2009-05-29,okay up is sad again  *sniffles*,0
115,2009-06-03,"my dinner was soup, because my parents hate me ",0
116,2009-06-01,Ugh i hate the heat of arizona. ,0
117,2009-06-19,Stealing pats side of the bed is alot less fun with no pat ,0
118,2009-06-18,@LeeyahWay ,0
119,2009-05-31,"Autopsy done: they pulled off an electrolytic cap, resoldered it in the wrong place w/too much solder and covered other parts. Dead. ",0
120,2009-04-19,Damn I thought my migraines were gone but they aint ,0
121,2009-05-03,@gfalcone601 awk pet! hope your better soon ,0
122,2009-05-10,couldn't find a coaster for Mother's Day ,0
123,2009-06-20,I hate rain!! ,0
124,2009-06-15,"@ThatsHot9 Same. I've got college work, house cleaning etc. Better get started then ",0
125,2009-06-02,Someone's car alarm has been going off for the past ten minutes. It's times like this that I wish I didn't have a window office ,0
126,2009-06-18,you know those times when you feel like your so tired but cnt go to sleep lol thats how feel ,0
127,2009-06-18,"@WhiteHowler how dare you insult your loving, adorable wife ",0
128,2009-06-25,"@zk yep, found it: http://fifa2.feedroom.com/ #confed live stream for those of us still at work ",0
129,2009-06-17,Finally Done. Tired. Hungry. Can someone fund my hunger? ,0
130,2009-06-15,i got spacers today....they hurt ,0
131,2009-06-17,"allergic to smthg i ate today i think, kakiku gatel2 ",0
132,2009-06-20,family stuff tonight  wishing i was barhopping with @gbaby24 &amp; cash of course lol,0
133,2009-06-07,@Amrix lol havent worked that bit out yet - also wasnt allowed to take pics of performance  - its worth going to see it!,0
134,2009-05-31,@tommcfly it says the video isnt avaliable in your country ,0
135,2009-06-01,Morning everyone. On my way to work. ,0
136,2009-06-25,"@souksamrane @Juicebox_  no im not sure. thats why im asking.... was it??  i take it that no one has done it, as a no.",0
137,2009-06-07,@KatyinIndy Our first lady is disgusting ,0
138,2009-06-18,last day of my first year of college so sad  been best year ever n dnt no wt 2 do 4 10 weeks xx,0
139,2009-06-14,"Ugh it's summer, I shouldn't feel so stressed out about my two classes.  Super-sadness.Might as well go to bed, I can't think anymore.",0
140,2009-06-07,In bed hoping everythings alright... i hate when i get bad feelings like this and i cant get yu. Fuck ,0
141,2009-06-17,@deanschick I know! I'm so nervous. ,0
142,2009-06-15,"@EmmzGx certainly can be!! ;)  goooood song!!  lol sexy man!  my battery just died, dont think theres any plugs free ",0
143,2009-06-14,"@lindseak what the fish, i was SO close to getting om shanti om for five euro at the flea market! the guy sold it last week ",0
144,2009-06-03,"French exam was a load of bollocks, damnit ",0
145,2009-06-19, today sucks.... just like this week does.,0
146,2009-06-21,@activeducator This http://twurl.nl/4abtu6 link you mentioned is not working.  I was very interested too ,0
147,2009-05-01,Going to bed I wanna stay up for craig ferguson but I gotta work at 8 in the morning. sucky day ,0
148,2009-06-18,@itsanno  It's in the water. Stupid water. LOL,0
149,2009-05-31,Up not-so-nice and early  -eats school.,0
150,2009-05-17,"DC hasn't been able to win a single match against DD and KXP, in 4 encounters with each team. Mental block.  #ipl",0
151,2009-06-01,"almost 1 pm and I have done NOTHING. argh. i hate when i go to bed at 4 am, I'm slow to get to work the next day ",0
152,2009-04-18,@ohjennifer ohhh it didnt work  thats not good! xx,0
153,2009-06-19,Lost all my drawings cos of hard drive failure  Got a 320GB for Â£50 though   ^(^.^)^,0
154,2009-05-01,@kate38381849 omg omg omg omg KATIEEEEEEEEEEEEEEEEE y r u going to the airport??????? ,0
155,2009-06-15,@wendy_uk they should do at least a couple of shows or do smaller venues - there'll be some seriously upset fans over there ,0
156,2009-05-30,@Dangerous_T U so damn silly! I wish my head wasn't so foggy right now... ,0
157,2009-06-18,feels so damn guilty. My uncle is picking me up in Newark. He shouldn't have to deal with this yucky delay ,0
158,2009-05-29,ahahaha I'm dreaming so much and that is so bad because is not always true ,0
159,2009-05-30,Is so mad at herself. I slept in and just woke up and so im missing the boys baseball game  ,0
160,2009-05-04,Why is being at my dads so awkward? There's all there rich people talking about fancy holidays and business. I want to go home ,0
161,2009-04-19,Wow my dad just brought out his laser disc player from the basement and it still works. Lol to bad they don't still make laser discs. ,0
162,2009-06-06,@scanman Sounds miserable.  Feel better soon!,0
163,2009-06-06,That was almost 12 hours of sleep but feels like 2. ,0
164,2009-06-02,"@tommcfly TOM. PLEASE GIVE ME A SHOUTOUT BEFORE LEAVING.  I tweet you everyday, every hour.. but i don't get one back. ",0
165,2009-06-20,"@benroach That's true  he wanted a CD but it sold out, So now he's saying he just wants a quiet life, that's easier said than done. Lol",0
166,2009-05-17,Just cycled omg legs like jelly. ,0
167,2009-06-06,Mama cat still MIA ,0
168,2009-06-17,"omg, i hate my mum. Stupiud slag hardly lest me on the fone grrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr ",0
169,2009-06-21,Went grocery shopping this morning and was on the phone with Vizio - the new TV doesn't work already after just 5 months ,0
170,2009-06-17,@Rachelle_Lefevr I wish there was a Twi-con in Toronto or Montreal  but it's awesome you get out to as much as you can.,0
171,2009-06-20,Work on a frakin saturday!!!  some flutes are just evil.,0
172,2009-05-30,"Cancer sucks, and the worst part is seeing what the chemo side effects are on my little girl ",0
173,2009-06-21,i just broke my favorite mug ,0
174,2009-05-29,"@DavidGibbons Thanks for the link. I've been out of NY, missed many non-online bills so know how badly my score's been hit ",0
175,2009-06-01,"@gvoice So, I was totally wrong about your album art, Tommy totally has the soul patch too! I feel ashamed now... ",0
176,2009-06-23,No hair today. Have to wait until friday. Going to clean then walk. Drive later. Maybe to the lake? I miss @kateybby ,0
177,2009-06-15,@glasscase we can't hang on wednesday  but thursday y/n?,0
178,2009-06-25,it's going to be a long day ,0
179,2009-06-17,not sleeping thats for sure  i have terrible insomnia  omc im in love with mitchell davis,0
180,2009-05-29,Photovia homecoming) Well Karaoke is getting less popular now here in Japanï¿½ I really miss that  http://tumblr.com/x4h1wkwfe,0
181,2009-06-19,So what happened- I copied the youtube link from my email and didn't realize I also copied my email sig- including all my info ,0
182,2009-06-07,tight.. i was so close to going to summe rjam.. but na i wasnt into it like that.. but omg.. son Drake ? Jay-Z ? Day26 ? Sonnnnnn *tear* ,0
183,2009-06-19,Aw  my dads face is swollen ,0
184,2009-06-22,"A tear in my black jeans is exposing the lily-white skin of my upper, upper right thigh ",0
185,2009-05-22,Photo: Going to work again. This is my sad face.  http://tumblr.com/xtv1udlor,0
186,2009-05-30,Spent a gorgeous evening yest at the Taste Festival.  Missed Hugh because of bloody traffic &amp; therefore my chance to ask him to adopt me ,0
187,2009-06-21,@l3uttaflykisses girl I am still up!! Its 5am!! ps the guy singing at the bar had a shout out to one of our deseased patients ,0
188,2009-06-17, I've been bitten by bitey things all over my legs and it itches like fuck!,0
189,2009-05-22,Today is my babies last day of elementary school. She's growing up....I'm sad.  and happy at the same time.,0
190,2009-06-18,"@MusicalConstant If I had given up when things got rough, I wouldn't be here, now. Please cheer up, mate. It won't rain forever. *hugs* ",0
191,2009-06-15,I love when people get mad at me for being hurt ,0
192,2009-06-23,Off saving the world... Or atleast the pictures that somehow were deleted from my Post-Production computer while I was on Vacation. ,0
193,2009-05-30,@rajskub More Chloe for S8! Only 13 eps for S7 was rather disappointing. ,0
194,2009-06-15,I'm finally home after an hour of working out...I'm so tired now...I need someone to come cook for me b/c I'm too weak ,0
195,2009-06-07,beautiful day...but doing an accounting test ,0
196,2009-06-05,@ImCirocObama on W. Northrup....but its pretty much all gone  lol,0
197,2009-05-22,"going into work for a few hours ... it must be done, but means I fail to reduce TOIL this week ",0
198,2009-06-23,"@gooster Bad link, buddy.  ",0
199,2009-06-03,Missing my pooh bear ,0
200,2009-05-03,Just got home from work. My feet hurt again ,0
201,2009-06-16,on the grind with no time on my hands... im so sleeeepy ,0
202,2009-06-16,@Mollzie33 I Checked the lotto ticket. We didn't win.  call me tomorrow!,0
203,2009-06-06,Just say joe jonas dancing to beyonce's single ladies in a black leotard. . . Don't think I'll ever recover ,0
204,2009-04-19,eer... so much stuff to do and I just wanna sleep the whole freakin day and forget all about it ,0
205,2009-06-15,damn i juss finishd watchin the last episode of prison break and......michael scofield dies at the end !!!!!!!!!!! ,0
206,2009-06-15,@misspatch13 it all around sucks ,0
207,2009-06-05,@WordofMouthAtl its great! well its raining now  i put up pics on fb. check em out,0
208,2009-06-22,"Wants the new iphone 3gs, but cant have one ",0
209,2009-06-15,"@TinnyandOdd yes, exactly that!! Yuck  I think I would have maybe thrown up a little bit if I'd seen that!",0
210,2009-06-15,...and getting wet. it just starts raining very heavy. and it's a pretty long way down to my car  ,0
211,2009-05-22,@Marwan_vs_Shark I was a little sick today so I stayed in all day! ,0
212,2009-06-05,Bored out of my mind ,0
213,2009-05-30,"i'm sad LeBron, i wished you and the Cav's could have gone farther in the NBA playoffs ",0
214,2009-06-06,@VALERiiAC    i wanna go to prom with youuuu and i can't   DAMNNNIT. you're gonna be hottt. and you hung up the phone yesterday thanks &lt;3,0
215,2009-06-01,no funciona el twitter movil ,0
216,2009-06-18,"screamed like bloody mary. i was in the garage thinking 'wow i'm not scared', &amp; this gray animal comes up to me &amp; i think it touched me ",0
217,2009-05-31,I am up and leaving for work in 2 minutes after letting the dog back in from morning rounds! ugh... no sleep ,0
218,2009-05-30,I seriously need a new phone  this piece of sh*t is sooo lame. I can't keep throwing it against a wall to work :/,0
219,2009-05-31,@ellice_x aww noo! this stupid hayfever shouldn't prevend you from enjoying lovely weather!  xx,0
220,2009-05-10,@whiish did i do it wrong? am i bad? ,0
221,2009-05-11,@gallopingsalmon  hope all your blood work turns out ok. I'm going to miss hearing your voice tonight.,0
222,2009-05-18,I am @ work . Waiting on someone to come in my store ! I miss my Doo ,0
223,2009-05-29,Is stuck in some long ass traffic on the motorway...I'm not gonna get home until after 10pm  I'm so tired...,0
224,2009-06-22,"@ann_donnelly actually, am away on vaction that night  just realised",0
225,2009-06-05,Had an awesome day yesterday away from the computer. Needed that since both my rent and insurance payments bounced.  Shit.,0
226,2009-06-18,"luvin Spotlight on my iPhone, now i dont necessarily have to organize my 10 pgs of apps ;-)  BUT sad i still can't get stereo bluetooth ",0
227,2009-06-20,Ok. . .so I suck at air hockey. ,0
228,2009-06-19,@mtpflyers you are a crazy boy!  i'm not getting 3gs    cannot upgrade for free till December and would cost too much to buy out contract,0
229,2009-04-07,... wondering what a PMA is   ,0
230,2009-06-01,my final for pub won't open ,0
231,2009-06-22,Watching Mayor Fenty announce that 4 people died on the metro red line.  ,0
232,2009-05-28,&quot;Good things come for boys who wait&quot; y yo llevo esperando a una vieja asï¿½... ,0
233,2009-06-18,"@ZeROCTRL no WIP for this one...sorry  This is the base model I am working on, for normal maps...so will have lots of detail.",0
234,2009-06-06,my legs still hurt ,0
235,2009-05-18,chorus adventures: sight singing ! yay ,0
236,2009-06-19,"Okay, it's Friday and I should be more excited about it.  But hey maybe I will switch to Geico and save a ton of money with the lizard.",0
237,2009-06-20,I look like Cinderella's ugly step sister...My eye became swollen ,0
238,2009-06-18,"@belladesign Will everything be done on 7/17, like flowers too? Cuz we can't do 7/18. ",0
239,2009-06-18,"@capitalc73 too soddin long - january  white, huh? whatever u do, i'm excited for ya!",0
240,2009-05-10,i am dooing homework!!  (can't believe that they give it out over the weekend!!!    :9,0
241,2009-04-19,@randomapricot swapping places with us by the looks of things ,0
242,2009-06-03,"Apparently, I can't sleep past 8:30am, no matter how late I go to sleep. This totally sucks, because I'm still tired. ",0
243,2009-06-03,@vlastikb picture quality not optimal because i was awkward about hwo to display it ,0
244,2009-06-17,watchin &quot;Steel Magnolias&quot; Julia Roberts died in the movie ,0
245,2009-05-03,"I really, really want to start writing again. But I am not inspired yet. ",0
246,2009-06-07,"@liveonmars lol! Good for you on the jog, I skipped it today. So I'm sure I feel it tomorrow. ",0
247,2009-05-30,"Werder Bremen has won!! I'm sooo happy! But I'm very sad, too because IT WAS DIEGO'S LAST MATCH for Werder... ",0
248,2009-06-01,trying to identify the problem of my notebook's battery.. ,0
249,2009-06-20,"@gilbirmingham oh no!!!! I just started following today and I soo thought you would do it  Oh well, the next challenge we shall conquer!",0
250,2009-06-03,urgh my computer is going REAL slow ,0
251,2009-06-16,@logan_weisner What time is it in Dubai? It's nearly 6am and I STILL can't sleep  Do u want me to pick u up from airport?,0
252,2009-06-15,I wish I was somewhere... like London. ,0
253,2009-05-14,@FBIPressOffice I wanted to work for the FBI when I was young. I did a couple things that negated that dream ,0
254,2009-05-29,Ok..ok...my house needs cleaning...clothes need washing...time to put twitter away for awhile...wahhhh ,0
255,2009-06-16,Headed to dinner with @djh2004 hmmm probably one of the last... Sad day ,0
256,2009-06-17,Ohhh I hope one of the H&amp;M stores near Pittsburgh will carry Jimmy Choo's. I want a pair! But ohhh a 5 month wait for that   xxoo,0
257,2009-05-31,nobody is online in my msn ,0
258,2009-06-20,Starting to get nervous about leaving Jboy at Preschool ,0
259,2009-06-18,"really should tidy my room, but so much is on my mind ",0
260,2009-06-01,"@KaarinE Shortage of DPS or shortage of knowing left from right? Either way, that sucks ",0
261,2009-06-23,WHERE ARE MY #awesomeclub MEMBERS?! ( @williamjone @_kimberlynicole ) omg we havent had a meeting in forever!!! ,0
262,2009-06-19,@britneyspears awe i wish i could have been there ,0
263,2009-06-15,@nataliebailey  Sorry to hear that m'dear!  Feel better soon!,0
264,2009-06-17,"@Franman247 if you think thats bad... http://bit.ly/UNr9w  Bad source but still, its sickening...",0
265,2009-06-19,wish i lived near NYC  that way i'd be able to see @jakeandamir perform!,0
266,2009-05-26,night #6 and puppy still cries before going to sleep ,0
267,2009-05-04,Nets not resets   countdown to midnight begins.  6 hours to go.,0
268,2009-05-04,"kinda peeved that all my pop is gone... i dont get alot of luxuries in life right now, and everyone drank my pop while i was gone ",0
269,2009-06-16,i need friends who will share in my delight at the resort 10 collections ,0
270,2009-06-01,@shutuhpmarice MARICE! a porn star was following me  hahahahha i blocked HER.,0
271,2009-05-29,my cousins are going to the city &amp; didnt invite me ,0
272,2009-05-17,"@NikHampshire, I really wanted to go but was dragged out to family dinner cause my brother also graduated and got back super late. ",0
273,2009-05-10,Shit! I'm kriss kross - i missed the bus   schijt  Arriva!! On my way 2 mah J O B. Zo geen zin!!!,0
274,2009-06-16,I really don't know what I'm going to do without my kitties.... ,0
275,2009-06-22,@TweetDiane I totally agree...going into work with 24 4 yr olds on 4 hrs of sleep...not so good...now I am studying for an exam ,0
276,2009-06-21,"Stupid cold, with your sneezing and sore throat! Also where has the sun gone! ",0
277,2009-06-01,"@JonathanRKnight OMG, NO!! Don't say that!! *sniff* ",0
278,2009-06-18,Tried to watch &quot;Tibet: Cry of the Snow Lion&quot; during breakfast. Too sad ,0
279,2009-06-06,Just a little longer and the boring weekend begins. ,0
280,2009-06-06,@KimKardashian yeah ..twice ,0
281,2009-06-19,"@danger534 hey,why r u sad? ",0
282,2009-06-15,went to work out but the workout room is closed ,0
283,2009-05-14,boat crashed &gt;&gt; boat damaged &gt;&gt; boat @ docks for repairs &gt;&gt; no sailing 2mrw! ,0
284,2009-06-18,hubby justy told me he's goin 2 Chicago on Monday  4 2 days! boo hoo,0
285,2009-06-18,@macsbabygurl I cant either!  It's so small in my room and it makes it SOOOOO hot!!! ,0
286,2009-05-30,maybe next year king james ,0
287,2009-04-19,"Just got home from church.  Wish it was warmer today, I really wanted to golf!!  ",0
288,2009-05-22,@ALOliver o thats not good  She'll c u ok when she's rich &amp; famous Lol,0
289,2009-06-18,days come and go but my feelings for you are forever  I shouldnt miss him but I cant help feel like Im just in  bad dream &lt;3Pot Pie,0
290,2009-05-29,ahh everyone's out today taking in the sunny weather except me  might go and watch some tv...,0
291,2009-05-18,@stelleisonfire me 2! ... best night ever! XD ... sorry for the late reply laptop broke  .... hvnt heard anything good on in cardiff sos,0
292,2009-06-01,"@JoannaHang Seriously! So sad, so sad ",0
293,2009-06-24,"@LuvinMeSomeD I know! I so wish there was a way I could get there, but I just can't ",0
294,2009-05-29,@totalgunner Ive twitpic-we him before so you might be able to find him LOL. Aw thats so sad!  ooh piranhas? Scary lol,0
295,2009-06-06,@WhatsTheT  I thought I had offended @booskee9 ... I felt really bad cause of what I had on..thought he saw me like a slut ,0
296,2009-05-30,ah well Cavs lost ,0
297,2009-06-06,ahhh revision!  i really should start haha,0
298,2009-06-02,I flipping hate doctors waiting rooms ,0
299,2009-06-02,had a pretty happy eofys but spented all her monies ,0
300,2009-06-15,Ate too much at the the most amazing French dinner!! Now I must drive home  Meghann is cool!!!!!,0
301,2009-06-14,"Nose hurts like a bitch, had to repeirce it myself. Feels like I broke it! ",0
302,2009-06-01,about 4 hours since @KrystalSpee left.. missen her already.. ,0
303,2009-06-18,TweetDock doesn't let me to send any new tweets. Each time I press send its crashing. It needs update guys. Sent from twitterific ,0
304,2009-06-20,"knew i should have put a bet on tevez buggering off! damn you fergie, my two favourite players in the space of two weeks?! ",0
305,2009-06-16,Ps i just heard a hung up/call me madonna/blondie remix blew my mind. There there was country ,0
306,2009-05-31,i dont feel pretty todayyy....my bangs arent cooperating with me. ,0
307,2009-06-06,on the train.. up since 6 nd slightly hungover.. ,0
308,2009-06-17,4 hours remaining ,0
309,2009-06-21,in brisbane. i have to work tomorrow ,0
310,2009-06-04,My dog is officially blind in her left eye  she will be 13 in august,0
311,2009-06-06,@joyjavier awww dats sad for u. i couldnt even go sumwer today. mine is way worser than urs ,0
312,2009-06-01,@sammy1986 i know !   i watched it.  how sad ?!    i hate sunburn btw.,0
313,2009-06-19,@emmaa_jadee she's gone for good. All good things must come to an end ,0
314,2009-05-31,Low batt...  titip di mas2 dulu deh buat di charge,0
315,2009-05-03,@tapjazzballet45 i guess we missed you!   WELL HAVE AN AMAZING TRIP!!! WE WILL MISS YOU SO MUCH!!!,0
316,2009-05-26,@monipython I don't even no haha like something that happened at school or something but yeah I'm upset about prop 8 ,0
317,2009-06-18,"It's time to say goodbye. Will tweet only sunday . On the road for 8 hours, great. Love ya and I miss yaaaa ( surtout Maww  )",0
318,2009-06-17,I should be sleeping. But I don't want to ,0
319,2009-06-03,@LittlePatterson well i hope so but it could still fuck up  getting deposit &amp; referencesso fingers crossed x,0
320,2009-06-17,up way too early.gotta head to the hospital for my MRI.cant put it off any longer.   then work after,0
321,2009-05-30,"great weather, summer soon D, school is ending even though it doesnt seem to want to haha =P and the dramas are taking over again.. ",0
322,2009-06-15,i dunno what to do ,0
323,2009-05-30,"...to the sherwood forest gig in june, is ther neway of getting VIP tickets for that? looked on the net but cant find nething? ",0
324,2009-06-19,Just burned my tongue on my green team ,0
325,2009-06-21,"Viendo The Big Bang Theory, es tan divertida, y tal real ",0
